"ITEM","CODE","VALUE","SCORE","UNWTD","UNWTD %","WTD","WTD %","AVGE MEAS","P.SD MEAS","S.E. MEAS","INFIT MNSQ","OUTFIT MNSQ","PTMA","LABEL"
29,"*",0,0,24,10.4803,24.0000,10.4803,-1.6908,.8441,.1760,.5197,.4670,-.4416,"MAT29"
29,"A",0,0,22,9.6070,22.0000,9.6070,-.8314,.5024,.1096,.9209,.9579,-.1074,"MAT29"
29,"B",0,0,59,25.7642,59.0000,25.7642,-.7536,.5787,.0760,1.0192,1.0616,-.1185,"MAT29"
29,"C",0,0,52,22.7074,52.0000,22.7074,-.8096,.5076,.0711,.9342,.9726,-.1604,"MAT29"
29,"D",1,1,72,31.4410,72.0000,31.4410,-.3546,.6867,.0815,.9352,.9487,.3282,"MAT29"
30,"*",0,0,43,18.7773,43.0000,18.7773,-1.2656,.9521,.1469,.8883,.7686,-.3411,"MAT30"
30,"A",0,0,43,18.7773,43.0000,18.7773,-.7066,.6313,.0974,1.1215,1.1370,-.0718,"MAT30"
30,"B",0,0,63,27.5109,63.0000,27.5109,-.6371,.5316,.0675,1.0657,1.1344,-.0123,"MAT30"
30,"C",1,1,55,24.0175,55.0000,24.0175,-.5027,.5996,.0816,1.0976,1.0521,.1314,"MAT30"
30,"D",0,0,25,10.9170,25.0000,10.9170,-.7349,.7274,.1485,1.1946,1.1748,-.0699,"MAT30"
31,"*",0,0,51,22.2707,51.0000,22.2707,-1.2279,.9184,.1299,.8684,.7687,-.3521,"MAT31"
31,"A",0,0,27,11.7904,27.0000,11.7904,-.8546,.5193,.1018,.8837,.9191,-.1729,"MAT31"
31,"B",0,0,75,32.7511,75.0000,32.7511,-.6470,.5669,.0659,1.0707,1.1328,-.0544,"MAT31"
31,"C",1,1,51,22.2707,51.0000,22.2707,-.4198,.5852,.0828,1.0267,.9658,.1990,"MAT31"
31,"D",0,0,25,10.9170,25.0000,10.9170,-.6134,.6919,.1412,1.3250,1.3081,-.0032,"MAT31"
32,"*",0,0,19,8.2969,19.0000,8.2969,-1.4205,1.0446,.2462,.9045,.7705,-.2771,"MAT32"
32,"A",0,0,17,7.4236,17.0000,7.4236,-.9235,.5242,.1310,.9061,.9093,-.1064,"MAT32"
32,"B",0,0,58,25.3275,58.0000,25.3275,-.9528,.5320,.0705,.8834,.8885,-.2488,"MAT32"
32,"C",0,0,42,18.3406,42.0000,18.3406,-.9142,.6216,.0971,.9073,.9180,-.1722,"MAT32"
32,"D",1,1,93,40.6114,93.0000,40.6114,-.3722,.6452,.0673,.9174,.8879,.4210,"MAT32"
33,"*",0,0,47,20.5240,47.0000,20.5240,-1.1840,.8446,.1245,.8610,.7874,-.3038,"MAT33"
33,"A",0,0,37,16.1572,37.0000,16.1572,-.8055,.5051,.0842,.9151,.9612,-.1329,"MAT33"
33,"B",0,0,45,19.6507,45.0000,19.6507,-.6571,.6151,.0927,1.1543,1.1882,-.0206,"MAT33"
33,"C",0,0,37,16.1572,37.0000,16.1572,-.7320,.7529,.1255,1.0822,1.1242,-.0760,"MAT33"
33,"D",1,1,63,27.5109,63.0000,27.5109,-.4581,.6533,.0830,1.0494,1.0116,.1954,"MAT33"
34,"*",0,0,39,17.0306,39.0000,17.0306,-1.2523,1.0141,.1645,.9715,.8534,-.3132,"MAT34"
34,"A",0,0,28,12.2271,28.0000,12.2271,-.7682,.3765,.0724,.8953,.9610,-.0856,"MAT34"
34,"B",0,0,29,12.6638,29.0000,12.6638,-.9092,.4860,.0918,.8415,.8727,-.1857,"MAT34"
34,"C",0,0,58,25.3275,58.0000,25.3275,-.8401,.5250,.0695,.9338,.9628,-.2148,"MAT34"
34,"D",1,1,75,32.7511,75.0000,32.7511,-.3403,.6536,.0760,.9166,.8979,.4011,"MAT34"
35,"*",0,0,22,9.6070,22.0000,9.6070,-1.6394,.9786,.2135,.7012,.6103,-.3978,"MAT35"
35,"A",0,0,25,10.9170,25.0000,10.9170,-.7988,.5653,.1154,1.1221,1.1581,-.0866,"MAT35"
35,"B",1,1,136,59.3886,136.0000,59.3886,-.5146,.6377,.0549,.9600,.9418,.3012,"MAT35"
35,"C",0,0,22,9.6070,22.0000,9.6070,-.9655,.4172,.0910,.9294,.9031,-.1718,"MAT35"
35,"D",0,0,24,10.4803,24.0000,10.4803,-.9876,.5414,.1129,.9422,.9484,-.1932,"MAT35"
36,"*",0,0,52,22.7074,52.0000,22.7074,-1.0990,.9915,.1388,1.0509,.9106,-.2611,"MAT36"
36,"A",0,0,39,17.0306,39.0000,17.0306,-.5654,.5468,.0887,1.1184,1.2044,.0691,"MAT36"
36,"B",0,0,49,21.3974,49.0000,21.3974,-.7226,.6612,.0954,1.1338,1.1328,-.0824,"MAT36"
36,"C",1,1,43,18.7773,43.0000,18.7773,-.7218,.4732,.0730,1.3794,1.2651,-.0748,"MAT36"
36,"D",0,0,46,20.0873,46.0000,20.0873,-.5504,.6460,.0963,1.2737,1.3042,.0919,"MAT36"
37,"*",0,0,39,17.0306,39.0000,17.0306,-1.2611,1.0020,.1625,.9462,.8143,-.3186,"MAT37"
37,"A",0,0,28,12.2271,28.0000,12.2271,-.8735,.4271,.0822,.8300,.8854,-.1581,"MAT37"
37,"B",1,1,64,27.9476,64.0000,27.9476,-.4173,.5271,.0664,.9800,.9118,.2608,"MAT37"
37,"C",0,0,80,34.9345,80.0000,34.9345,-.7351,.6382,.0718,1.0996,1.1208,-.1313,"MAT37"
37,"D",0,0,18,7.8603,18.0000,7.8603,-.6563,.7488,.1816,1.3241,1.3205,-.0081,"MAT37"
38,"*",0,0,55,24.0175,55.0000,24.0175,-1.1449,.9424,.1282,.9717,.8478,-.3061,"MAT38"
38,"A",0,0,26,11.3537,26.0000,11.3537,-.7656,.4002,.0800,.8142,.9208,-.1016,"MAT38"
38,"B",0,0,40,17.4672,40.0000,17.4672,-.5453,.6640,.1063,1.2236,1.2859,.0688,"MAT38"
38,"C",0,0,63,27.5109,63.0000,27.5109,-.7724,.4587,.0583,.8466,.9357,-.1911,"MAT38"
38,"D",1,1,45,19.6507,45.0000,19.6507,-.3914,.7090,.1069,1.0224,1.0146,.2263,"MAT38"
39,"*",0,0,46,20.0873,46.0000,20.0873,-1.1474,1.0181,.1518,1.0594,.9664,-.2746,"MAT39"
39,"A",0,0,34,14.8472,34.0000,14.8472,-.7229,.5642,.0982,1.0692,1.1865,-.0614,"MAT39"
39,"B",1,1,85,37.1179,85.0000,37.1179,-.5624,.6456,.0704,1.0956,1.0813,.1297,"MAT39"
39,"C",0,0,46,20.0873,46.0000,20.0873,-.7040,.5485,.0818,1.0914,1.1307,-.0562,"MAT39"
39,"D",0,0,18,7.8603,18.0000,7.8603,-.7456,.4968,.1205,1.0247,1.0641,-.0550,"MAT39"
40,"*",0,0,41,17.9039,41.0000,17.9039,-1.2251,.9906,.1566,.9631,.8717,-.3054,"MAT40"
40,"A",0,0,23,10.0437,23.0000,10.0437,-.9323,.5155,.1099,.8668,.8885,-.1764,"MAT40"
40,"B",1,1,85,37.1179,85.0000,37.1179,-.3916,.6338,.0692,.9408,.9087,.3706,"MAT40"
40,"C",0,0,67,29.2576,67.0000,29.2576,-.8008,.4989,.0614,.9694,1.0001,-.1921,"MAT40"
40,"D",0,0,13,5.6769,13.0000,5.6769,-.9501,.5406,.1561,.8844,.8904,-.1366,"MAT40"
